"ECC_SAR","ECC_CH","NSC_END","NSC_SAR","NSC_SPP","IUCN_AMPH","IUCN_BIRD","IUCN_MAMM","IUCN_REPT"
"COSEWICID_1008","Aristida_basiramea","Canis_sp._cf._lycaon","Acipenser_fulvescens_pop._3","Adenocaulon_bicolor","Ambystoma_jeffersonianum_aoh","Acanthis_flammea_3_aoh","Alces_alces_aoh","Caretta_caretta_aoh"
"COSEWICID_1019","Charadrius_melodus_circumcinctus","Crossocalyx_tenuis","Ambystoma_jeffersonianum","Aeshna_clepsydra","Ambystoma_maculatum_aoh","Accipiter_cooperii_2_aoh","Blarina_brevicauda_aoh","Diadophis_punctatus_aoh"
"COSEWICID_1022","Clemmys_guttata","Syntrichia_cainii","Antrostomus_vociferus","Aeshna_interrupta_lineata","Anaxyrus_americanus_aoh","Accipiter_gentilis_1_aoh","Canis_latrans_aoh","Eretmochelys_imbricata_aoh"
"COSEWICID_1033","Emydoidea_blandingii",NA,"Aristida_basiramea","Ambystoma_hybrid_pop._1","Dryophytes_chrysoscelis_aoh","Accipiter_striatus_2_aoh","Castor_canadensis_aoh","Heterodon_platirhinos_aoh"
"COSEWICID_1047","Glyptemys_insculpta",NA,"Arnoglossum_plantagineum","Aplectrum_hyemale","Dryophytes_versicolor_aoh","Actitis_macularius_2_aoh","Condylura_cristata_aoh","Nerodia_sipedon_aoh"
"COSEWICID_1081","Ixobrychus_exilis",NA,"Asplenium_scolopendrium","Ardea_alba","Hemidactylium_scutatum_aoh","Aegolius_acadicus_1_aoh","Eptesicus_fuscus_aoh","Opheodrys_vernalis_aoh"
"COSEWICID_1087","Platanthera_leucophaea",NA,"Brychius_hungerfordi","Argia_tibialis","Lithobates_catesbeianus_aoh","Agelaius_phoeniceus_2_aoh","Erethizon_dorsatum_aoh","Pantherophis_gloydi_aoh"
"COSEWICID_1142","Pseudacris_triseriata",NA,"Charadrius_melodus","Arigomphus_furcifer","Lithobates_clamitans_aoh","Aix_sponsa_1_aoh","Glaucomys_sabrinus_aoh","Plestiodon_fasciatus_aoh"
"COSEWICID_1144","Sternotherus_odoratus",NA,"Chelydra_serpentina","Asplenium_ruta.muraria","Lithobates_palustris_aoh","Aix_sponsa_2_aoh","Glaucomys_volans_aoh","Sistrurus_catenatus_aoh"
"COSEWICID_1145","Thamnophis_butleri",NA,"Cirsium_hillii","Asterocampa_celtis","Lithobates_pipiens_aoh","Ammodramus_savannarum_2_aoh","Lasionycteris_noctivagans_aoh","Storeria_occipitomaculata_aoh"
"COSEWICID_1146","Wilsonia_citrina",NA,"Cirsium_pitcheri","Astragalus_neglectus","Lithobates_septentrionalis_aoh","Ammospiza_leconteii_2_aoh","Lasiurus_borealis_aoh","Thamnophis_butleri_aoh"
"COSEWICID_1147",NA,NA,"Clemmys_guttata","Calamovilfa_longifolia_var._magna","Lithobates_sylvaticus_aoh","Anas_acuta_2_aoh","Lasiurus_cinereus_aoh","Thamnophis_sauritus_aoh"
"COSEWICID_1197",NA,NA,"Clinostomus_elongatus","Campostoma_anomalum","Notophthalmus_viridescens_aoh","Anas_crecca_2_aoh","Lepus_americanus_aoh","Thamnophis_sirtalis_aoh"
"COSEWICID_1198",NA,NA,"Coregonus_kiyi_kiyi","Carex_albicans_var._albicans","Plethodon_cinereus_aoh","Anas_platyrhynchos_2_aoh","Lepus_europaeus_aoh",NA
"COSEWICID_1212",NA,NA,"Coregonus_zenithicus","Carex_muehlenbergii_var._enervis","Pseudacris_crucifer_aoh","Anas_rubripes_2_aoh","Lontra_canadensis_aoh",NA
"COSEWICID_1220",NA,NA,"Coturnicops_noveboracensis","Carex_schweinitzii","Pseudacris_maculata_aoh","Antrostomus_vociferus_2_aoh","Lynx_canadensis_aoh",NA
"COSEWICID_1232",NA,NA,"Dolichonyx_oryzivorus","Carex_scirpoidea_ssp._convoluta",NA,"Archilochus_colubris_2_aoh","Lynx_rufus_aoh",NA
"COSEWICID_1233",NA,NA,"Falco_peregrinus","Carex_tetanica",NA,"Ardea_alba_2_aoh","Marmota_monax_aoh",NA
"COSEWICID_1241",NA,NA,"Glyptemys_insculpta","Carex_trichocarpa",NA,"Ardea_herodias_2_aoh","Martes_pennanti_aoh",NA
"COSEWICID_1265",NA,NA,"Graptemys_geographica","Chenopodium_foggii",NA,"Asio_flammeus_1_aoh","Mephitis_mephitis_aoh",NA
"COSEWICID_157",NA,NA,"Heterodon_platirhinos","Chlidonias_niger",NA,"Asio_flammeus_2_aoh","Microtus_pennsylvanicus_aoh",NA
"COSEWICID_180",NA,NA,"Hirundo_rustica","Corispermum_hookeri",NA,"Asio_otus_1_aoh","Mus_musculus_aoh",NA
"COSEWICID_196",NA,NA,"Iris_lacustris","Crataegus_scabrida",NA,"Aythya_americana_2_aoh","Mustela_erminea_aoh",NA
"COSEWICID_217",NA,NA,"Ixobrychus_exilis","Cyperus_houghtonii",NA,"Aythya_collaris_2_aoh","Mustela_frenata_aoh",NA
"COSEWICID_225",NA,NA,"Juglans_cinerea","Cypripedium_arietinum",NA,"Aythya_marila_3_aoh","Mustela_nivalis_aoh",NA
"COSEWICID_23",NA,NA,"Lampropeltis_triangulum","Cystopteris_laurentiana",NA,"Aythya_valisineria_2_aoh","Myodes_gapperi_aoh",NA
"COSEWICID_24",NA,NA,"Melanerpes_erythrocephalus","Digitaria_cognata",NA,"Bartramia_longicauda_2_aoh","Myotis_leibii_aoh",NA
"COSEWICID_248",NA,NA,"Myotis_septentrionalis","Eleocharis_rostellata",NA,"Bombycilla_cedrorum_1_aoh","Myotis_lucifugus_aoh",NA
"COSEWICID_25",NA,NA,"Panax_quinquefolius","Elymus_lanceolatus_ssp._psammophilus",NA,"Bombycilla_garrulus_3_aoh","Myotis_septentrionalis_aoh",NA
"COSEWICID_254",NA,NA,"Pantherophis_gloydi_pop._1","Emydoidea_blandingii",NA,"Bonasa_umbellus_1_aoh","Napaeozapus_insignis_aoh",NA
"COSEWICID_256",NA,NA,"Parkesia_motacilla","Enallagma_aspersum",NA,"Botaurus_lentiginosus_2_aoh","Neovison_vison_aoh",NA
"COSEWICID_26",NA,NA,"Phegopteris_hexagonoptera","Erynnis_martialis",NA,"Branta_canadensis_1_aoh","Odocoileus_virginianus_aoh",NA
"COSEWICID_277",NA,NA,"Platanthera_leucophaea","Gomphaeschna_furcillata",NA,"Bubo_scandiacus_3_aoh","Ondatra_zibethicus_aoh",NA
"COSEWICID_285",NA,NA,"Plestiodon_fasciatus_pop._2","Gymnocarpium_robertianum",NA,"Bubo_virginianus_1_aoh","Parascalops_breweri_aoh",NA
"COSEWICID_294",NA,NA,"Potamogeton_hillii","Haliaeetus_leucocephalus",NA,"Bubulcus_ibis_2_aoh","Peromyscus_leucopus_aoh",NA
"COSEWICID_301",NA,NA,"Rallus_elegans","Lanius_ludovicianus",NA,"Bucephala_clangula_3_aoh","Peromyscus_maniculatus_aoh",NA
"COSEWICID_37",NA,NA,"Regina_septemvittata","Linum_medium_var._medium",NA,"Buteo_jamaicensis_2_aoh","Pipistrellus_subflavus_aoh",NA
"COSEWICID_46",NA,NA,"Riparia_riparia","Lithospermum_caroliniense",NA,"Buteo_lagopus_3_aoh","Procyon_lotor_aoh",NA
"COSEWICID_51",NA,NA,"Setophaga_cerulea","Mertensia_virginica",NA,"Buteo_lineatus_2_aoh","Sciurus_carolinensis_aoh",NA
"COSEWICID_53",NA,NA,"Sistrurus_catenatus_pop._1","Myotis_leibii",NA,"Buteo_platypterus_2_aoh","Sorex_cinereus_aoh",NA
"COSEWICID_552",NA,NA,"Somatochlora_hineana","Nasiaeschna_pentacantha",NA,"Butorides_striata_2_aoh","Sorex_fumeus_aoh",NA
"COSEWICID_57",NA,NA,"Sternotherus_odoratus","Nycticorax_nycticorax",NA,"Calcarius_lapponicus_3_aoh","Sorex_hoyi_aoh",NA
"COSEWICID_574",NA,NA,"Sturnella_magna","Oligoneuron_houghtonii",NA,"Cardellina_canadensis_2_aoh","Sylvilagus_floridanus_aoh",NA
"COSEWICID_588",NA,NA,"Tetraneuris_herbacea","Packera_obovata",NA,"Cardinalis_cardinalis_1_aoh","Synaptomys_cooperi_aoh",NA
"COSEWICID_60",NA,NA,"Thamnophis_butleri","Panicum_rigidulum_var._rigidulum",NA,"Cathartes_aura_2_aoh","Tamias_striatus_aoh",NA
"COSEWICID_61",NA,NA,"Thamnophis_sauritus","Pellaea_atropurpurea",NA,"Catharus_fuscescens_2_aoh","Tamiasciurus_hudsonicus_aoh",NA
"COSEWICID_621",NA,NA,"Vermivora_chrysoptera","Poa_languida",NA,"Catharus_guttatus_2_aoh","Taxidea_taxus_aoh",NA
"COSEWICID_642",NA,NA,NA,"Polygonum_arifolium",NA,"Catharus_swainsoni_2_aoh","Urocyon_cinereoargenteus_aoh",NA
"COSEWICID_647",NA,NA,NA,"Pseudocalliergon_turgescens",NA,"Certhia_americana_1_aoh","Ursus_americanus_aoh",NA
"COSEWICID_705",NA,NA,NA,"Pterospora_andromedea",NA,"Chaetura_pelagica_2_aoh","Vulpes_vulpes_aoh",NA
"COSEWICID_706",NA,NA,NA,"Sagittaria_cristata",NA,"Charadrius_vociferus_2_aoh","Zapus_hudsonius_aoh",NA
"COSEWICID_709",NA,NA,NA,"Schoenoplectus_smithii",NA,"Chlidonias_niger_2_aoh",NA,NA
"COSEWICID_712",NA,NA,NA,"Scleria_verticillata",NA,"Chordeiles_minor_2_aoh",NA,NA
"COSEWICID_714",NA,NA,NA,"Setophaga_citrina",NA,"Circus_hudsonius_2_aoh",NA,NA
"COSEWICID_744",NA,NA,NA,"Setophaga_discolor",NA,"Cistothorus_palustris_2_aoh",NA,NA
"COSEWICID_793",NA,NA,NA,"Solidago_simplex_ssp._randii",NA,"Cistothorus_stellaris_2_aoh",NA,NA
"COSEWICID_807",NA,NA,NA,"Solidago_simplex_var._ontarioensis",NA,"Clangula_hyemalis_2_aoh",NA,NA
"COSEWICID_826",NA,NA,NA,"Somatochlora_tenebrosa",NA,"Clangula_hyemalis_3_aoh",NA,NA
"COSEWICID_846",NA,NA,NA,"Spiranthes_magnicamporum",NA,"Coccyzus_americanus_2_aoh",NA,NA
"COSEWICID_868",NA,NA,NA,"Sporobolus_heterolepis",NA,"Coccyzus_erythropthalmus_2_aoh",NA,NA
"COSEWICID_907",NA,NA,NA,"Stylurus_spiniceps",NA,"Colaptes_auratus_2_aoh",NA,NA
"COSEWICID_919",NA,NA,NA,"Valeriana_uliginosa",NA,"Contopus_cooperi_2_aoh",NA,NA
"COSEWICID_942",NA,NA,NA,"Vertigo_paradoxa",NA,"Contopus_virens_2_aoh",NA,NA
"COSEWICID_951",NA,NA,NA,"Williamsonia_fletcheri",NA,"Corvus_brachyrhynchos_1_aoh",NA,NA
"COSEWICID_986",NA,NA,NA,NA,NA,"Corvus_brachyrhynchos_2_aoh",NA,NA
"COSEWICID_999",NA,NA,NA,NA,NA,"Coturnicops_noveboracensis_2_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Cyanocitta_cristata_1_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Cygnus_buccinator_1_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Dolichonyx_oryzivorus_2_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Dryobates_pubescens_1_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Dumetella_carolinensis_2_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Empidonax_alnorum_2_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Empidonax_flaviventris_2_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Empidonax_minimus_2_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Empidonax_traillii_2_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Eremophila_alpestris_2_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Euphagus_cyanocephalus_2_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Falcipennis_canadensis_1_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Falco_columbarius_2_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Falco_peregrinus_2_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Falco_rusticolus_3_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Falco_sparverius_2_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Fulica_americana_2_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Gallinago_delicata_2_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Gallinula_galeata_2_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Gavia_immer_2_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Geothlypis_philadelphia_2_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Geothlypis_trichas_2_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Haemorhous_mexicanus_1_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Haemorhous_purpureus_1_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Haliaeetus_leucocephalus_1_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Haliaeetus_leucocephalus_3_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Hesperiphona_vespertina_3_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Hirundo_rustica_2_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Hydrocoloeus_minutus_2_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Hylatomus_pileatus_1_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Hylocichla_mustelina_2_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Icterus_galbula_2_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Icterus_spurius_2_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Ixobrychus_exilis_2_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Junco_hyemalis_1_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Junco_hyemalis_2_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Lanius_borealis_3_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Lanius_ludovicianus_2_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Larus_atricilla_2_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Larus_delawarensis_2_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Larus_hyperboreus_3_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Larus_marinus_3_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Larus_philadelphia_3_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Larus_smithsonianus_1_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Leiothlypis_ruficapilla_2_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Leuconotopicus_villosus_1_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Lophodytes_cucullatus_1_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Lophodytes_cucullatus_2_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Loxia_leucoptera_1_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Mareca_americana_2_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Mareca_strepera_2_aoh",NA,NA
