"Source","Group","File_Name","Sci_Name","Season","Common_Name"
"IUCN","AMPH","Acris_crepitans_aoh.tif","Acris crepitans",NA,"Northern Cricket Frog"
"IUCN","AMPH","Ambystoma_gracile_aoh.tif","Ambystoma gracile",NA,"Northwestern Salamander"
"IUCN","AMPH","Ambystoma_jeffersonianum_aoh.tif","Ambystoma jeffersonianum",NA,"Jefferson Salamander"
"IUCN","AMPH","Ambystoma_laterale_aoh.tif","Ambystoma laterale",NA,"Blue-Spotted Salamander"
"IUCN","AMPH","Ambystoma_macrodactylum_aoh.tif","Ambystoma macrodactylum",NA,"Long-Toed Salamander"
"IUCN","AMPH","Ambystoma_maculatum_aoh.tif","Ambystoma maculatum",NA,"Spotted Salamander"
"IUCN","AMPH","Ambystoma_mavortium_aoh.tif","Ambystoma mavortium",NA,"Western Tiger Salamander"
"IUCN","AMPH","Ambystoma_texanum_aoh.tif","Ambystoma texanum",NA,"Smallmouth Salamander"
"IUCN","AMPH","Ambystoma_tigrinum_aoh.tif","Ambystoma tigrinum",NA,"Tiger Salamander"
"IUCN","AMPH","Anaxyrus_americanus_aoh.tif","Anaxyrus americanus",NA,"American Toad"
"IUCN","AMPH","Anaxyrus_boreas_aoh.tif","Anaxyrus boreas",NA,"Boreal Toad"
"IUCN","AMPH","Anaxyrus_cognatus_aoh.tif","Anaxyrus cognatus",NA,"Great Plains Toad"
"IUCN","AMPH","Anaxyrus_fowleri_aoh.tif","Anaxyrus fowleri",NA,"Fowler's Toad"
"IUCN","AMPH","Anaxyrus_hemiophrys_aoh.tif","Anaxyrus hemiophrys",NA,"Canadian Toad"
"IUCN","AMPH","Aneides_ferreus_aoh.tif","Aneides ferreus",NA,NA
"IUCN","AMPH","Aneides_vagrans_aoh.tif","Aneides vagrans",NA,"Wandering Salamander"
"IUCN","AMPH","Ascaphus_montanus_aoh.tif","Ascaphus montanus",NA,"Rocky Mountain Tailed Frog"
"IUCN","AMPH","Ascaphus_truei_aoh.tif","Ascaphus truei",NA,"Tailed Frog"
"IUCN","AMPH","Desmognathus_fuscus_aoh.tif","Desmognathus fuscus",NA,"Dusky Salamander"
"IUCN","AMPH","Desmognathus_ochrophaeus_aoh.tif","Desmognathus ochrophaeus",NA,"Allegheny Mountain Salamander"
"IUCN","AMPH","Dicamptodon_tenebrosus_aoh.tif","Dicamptodon tenebrosus",NA,NA
"IUCN","AMPH","Dryophytes_chrysoscelis_aoh.tif","Dryophytes chrysoscelis",NA,"Southern Gray Treefrog"
"IUCN","AMPH","Dryophytes_versicolor_aoh.tif","Dryophytes versicolor",NA,"Chameleon Treefrog"
"IUCN","AMPH","Ensatina_eschscholtzii_aoh.tif","Ensatina eschscholtzii",NA,"Common Ensatina"
"IUCN","AMPH","Eurycea_bislineata_aoh.tif","Eurycea bislineata",NA,"Two-Lined Salamander"
"IUCN","AMPH","Gyrinophilus_porphyriticus_aoh.tif","Gyrinophilus porphyriticus",NA,"Spring Salamander"
"IUCN","AMPH","Hemidactylium_scutatum_aoh.tif","Hemidactylium scutatum",NA,"Four-Toed Salamander"
"IUCN","AMPH","Lithobates_catesbeianus_aoh.tif","Lithobates catesbeianus",NA,"American Bullfrog"
"IUCN","AMPH","Lithobates_clamitans_aoh.tif","Lithobates clamitans",NA,"Bronze Frog"
"IUCN","AMPH","Lithobates_palustris_aoh.tif","Lithobates palustris",NA,"Pickerel Frog"
"IUCN","AMPH","Lithobates_pipiens_aoh.tif","Lithobates pipiens",NA,"Northern Leopard Frog"
"IUCN","AMPH","Lithobates_septentrionalis_aoh.tif","Lithobates septentrionalis",NA,"Mink Frog"
"IUCN","AMPH","Lithobates_sylvaticus_aoh.tif","Lithobates sylvaticus",NA,"Wood Frog"
"IUCN","AMPH","Notophthalmus_viridescens_aoh.tif","Notophthalmus viridescens",NA,"Eastern Newt"
"IUCN","AMPH","Plethodon_cinereus_aoh.tif","Plethodon cinereus",NA,"Red-Backed Salamander"
"IUCN","AMPH","Plethodon_idahoensis_aoh.tif","Plethodon idahoensis",NA,"Coeur D'alene Salamander"
"IUCN","AMPH","Plethodon_vehiculum_aoh.tif","Plethodon vehiculum",NA,"Western Red-Backed Salamander"
"IUCN","AMPH","Pseudacris_crucifer_aoh.tif","Pseudacris crucifer",NA,"Spring Peeper"
"IUCN","AMPH","Pseudacris_maculata_aoh.tif","Pseudacris maculata",NA,"Boreal Chorus Frog"
"IUCN","AMPH","Pseudacris_regilla_aoh.tif","Pseudacris regilla",NA,"Pacific Treefrog"
"IUCN","AMPH","Pseudacris_triseriata_aoh.tif","Pseudacris triseriata",NA,"Western Chorus Frog"
"IUCN","AMPH","Rana_aurora_aoh.tif","Rana aurora",NA,"Red-Legged Frog"
"IUCN","AMPH","Rana_luteiventris_aoh.tif","Rana luteiventris",NA,"Great Basin Spotted Frog"
"IUCN","AMPH","Rana_pretiosa_aoh.tif","Rana pretiosa",NA,NA
"IUCN","AMPH","Spea_bombifrons_aoh.tif","Spea bombifrons",NA,"Plains Spadefoot Toad"
"IUCN","AMPH","Spea_intermontana_aoh.tif","Spea intermontana",NA,"Great Basin Spadefoot Toad"
"IUCN","AMPH","Taricha_granulosa_aoh.tif","Taricha granulosa",NA,"Rough-Skinned Newt"
"IUCN","BIRD","Acanthis_flammea_1_aoh.tif","Acanthis flammea",1,"Common Redpoll"
"IUCN","BIRD","Acanthis_flammea_2_aoh.tif","Acanthis flammea",2,"Common Redpoll"
"IUCN","BIRD","Acanthis_flammea_3_aoh.tif","Acanthis flammea",3,"Common Redpoll"
"IUCN","BIRD","Accipiter_cooperii_1_aoh.tif","Accipiter cooperii",1,"Cooper's Hawk"
"IUCN","BIRD","Accipiter_cooperii_2_aoh.tif","Accipiter cooperii",2,"Cooper's Hawk"
"IUCN","BIRD","Accipiter_gentilis_1_aoh.tif","Accipiter gentilis",1,"Northern Goshawk"
"IUCN","BIRD","Accipiter_gentilis_3_aoh.tif","Accipiter gentilis",3,"Northern Goshawk"
"IUCN","BIRD","Accipiter_striatus_1_aoh.tif","Accipiter striatus",1,"Sharp-Shinned Hawk"
"IUCN","BIRD","Accipiter_striatus_2_aoh.tif","Accipiter striatus",2,"Sharp-Shinned Hawk"
"IUCN","BIRD","Accipiter_striatus_3_aoh.tif","Accipiter striatus",3,"Sharp-Shinned Hawk"
"IUCN","BIRD","Actitis_macularius_1_aoh.tif","Actitis macularius",1,NA
"IUCN","BIRD","Actitis_macularius_2_aoh.tif","Actitis macularius",2,NA
"IUCN","BIRD","Aechmophorus_clarkii_2_aoh.tif","Aechmophorus clarkii",2,NA
"IUCN","BIRD","Aechmophorus_occidentalis_2_aoh.tif","Aechmophorus occidentalis",2,"Western Grebe"
"IUCN","BIRD","Aechmophorus_occidentalis_3_aoh.tif","Aechmophorus occidentalis",3,"Western Grebe"
"IUCN","BIRD","Aegolius_acadicus_1_aoh.tif","Aegolius acadicus",1,"Northern Saw-Whet Owl"
"IUCN","BIRD","Aegolius_acadicus_3_aoh.tif","Aegolius acadicus",3,"Northern Saw-Whet Owl"
"IUCN","BIRD","Aegolius_funereus_1_aoh.tif","Aegolius funereus",1,"Boreal Owl"
