"Type","Theme","File","Name","Legend","Values","Color","Labels","Unit","Provenance","Order","Visible","Hidden","Goal"
"include","","I_Protected.tif","Existing Conservation (CPCAD)","manual","0, 1","#00000000, #7fbc41","not included, included","km2","national","","TRUE","FALSE",""
"theme","Critical Habitat (ECCC)","T_ECCC_CH_COSEWICID_1019.tif","Western Chorus Frog (Great Lakes / St. Lawrence - Canadian Shield population)","manual","0, 1","#00000000, #ffed6f","absence, presence","km2","national","","FALSE","FALSE","0.2"
"theme","Critical Habitat (ECCC)","T_ECCC_CH_COSEWICID_1022.tif","Eastern Foxsnake (Great Lakes / St. Lawrence population)","manual","0, 1","#00000000, #ffed6f","absence, presence","km2","national","","FALSE","FALSE","0.2"
"theme","Critical Habitat (ECCC)","T_ECCC_CH_COSEWICID_1047.tif","Eastern Whip-poor-will","manual","0, 1","#00000000, #ffed6f","absence, presence","km2","national","","FALSE","FALSE","0.2"
"theme","Critical Habitat (ECCC)","T_ECCC_CH_COSEWICID_1087.tif","Bobolink","manual","0, 1","#00000000, #ffed6f","absence, presence","km2","national","","FALSE","FALSE","0.2"
"theme","Critical Habitat (ECCC)","T_ECCC_CH_COSEWICID_1144.tif","Eastern Meadowlark","manual","0, 1","#00000000, #ffed6f","absence, presence","km2","national","","FALSE","FALSE","0.2"
"theme","Critical Habitat (ECCC)","T_ECCC_CH_COSEWICID_1145.tif","Hine's Emerald","manual","0, 1","#00000000, #ffed6f","absence, presence","km2","national","","FALSE","FALSE","0.2"
"theme","Critical Habitat (ECCC)","T_ECCC_CH_COSEWICID_1146.tif","Hungerford's Crawling Water Beetle","manual","0, 1","#00000000, #ffed6f","absence, presence","km2","national","","FALSE","FALSE","0.2"
"theme","Critical Habitat (ECCC)","T_ECCC_CH_COSEWICID_1173.tif","Little Brown Myotis","manual","0, 1","#00000000, #ffed6f","absence, presence","km2","national","","FALSE","FALSE","0.2"
"theme","Critical Habitat (ECCC)","T_ECCC_CH_COSEWICID_1174.tif","Tri-coloured Bat","manual","0, 1","#00000000, #ffed6f","absence, presence","km2","national","","FALSE","FALSE","0.2"
"theme","Critical Habitat (ECCC)","T_ECCC_CH_COSEWICID_1175.tif","Northern Myotis","manual","0, 1","#00000000, #ffed6f","absence, presence","km2","national","","FALSE","FALSE","0.2"
"theme","Critical Habitat (ECCC)","T_ECCC_CH_COSEWICID_1233.tif","Bank Swallow","manual","0, 1","#00000000, #ffed6f","absence, presence","km2","national","","FALSE","FALSE","0.2"
"theme","Critical Habitat (ECCC)","T_ECCC_CH_COSEWICID_217.tif","American Ginseng","manual","0, 1","#00000000, #ffed6f","absence, presence","km2","national","","FALSE","FALSE","0.2"
"theme","Critical Habitat (ECCC)","T_ECCC_CH_COSEWICID_221.tif","Goldenseal","manual","0, 1","#00000000, #ffed6f","absence, presence","km2","national","","FALSE","FALSE","0.2"
"theme","Critical Habitat (ECCC)","T_ECCC_CH_COSEWICID_248.tif","Eastern Prairie Fringed-orchid","manual","0, 1","#00000000, #ffed6f","absence, presence","km2","national","","FALSE","FALSE","0.2"
"theme","Critical Habitat (ECCC)","T_ECCC_CH_COSEWICID_277.tif","Massasauga","manual","0, 1","#00000000, #ffed6f","absence, presence","km2","national","","FALSE","FALSE","0.2"
"theme","Critical Habitat (ECCC)","T_ECCC_CH_COSEWICID_285.tif","Spotted Turtle","manual","0, 1","#00000000, #ffed6f","absence, presence","km2","national","","FALSE","FALSE","0.2"
"theme","Critical Habitat (ECCC)","T_ECCC_CH_COSEWICID_286.tif","Wood Turtle","manual","0, 1","#00000000, #ffed6f","absence, presence","km2","national","","FALSE","FALSE","0.2"
"theme","Critical Habitat (ECCC)","T_ECCC_CH_COSEWICID_46.tif","Cerulean Warbler","manual","0, 1","#00000000, #ffed6f","absence, presence","km2","national","","FALSE","FALSE","0.2"
"theme","Critical Habitat (ECCC)","T_ECCC_CH_COSEWICID_57.tif","Red-headed Woodpecker","manual","0, 1","#00000000, #ffed6f","absence, presence","km2","national","","FALSE","FALSE","0.2"
"theme","Critical Habitat (ECCC)","T_ECCC_CH_COSEWICID_585.tif","Queensnake","manual","0, 1","#00000000, #ffed6f","absence, presence","km2","national","","FALSE","FALSE","0.2"
"theme","Critical Habitat (ECCC)","T_ECCC_CH_COSEWICID_588.tif","Butler's Gartersnake","manual","0, 1","#00000000, #ffed6f","absence, presence","km2","national","","FALSE","FALSE","0.2"
"theme","Critical Habitat (ECCC)","T_ECCC_CH_COSEWICID_642.tif","Jefferson Salamander","manual","0, 1","#00000000, #ffed6f","absence, presence","km2","national","","FALSE","FALSE","0.2"
"theme","Critical Habitat (ECCC)","T_ECCC_CH_COSEWICID_686.tif","Piping Plover circumcinctus subspecies","manual","0, 1","#00000000, #ffed6f","absence, presence","km2","national","","FALSE","FALSE","0.2"
"theme","Critical Habitat (ECCC)","T_ECCC_CH_COSEWICID_705.tif","Lakeside Daisy","manual","0, 1","#00000000, #ffed6f","absence, presence","km2","national","","FALSE","FALSE","0.2"
"theme","Critical Habitat (ECCC)","T_ECCC_CH_COSEWICID_744.tif","Forked Three-awned Grass","manual","0, 1","#00000000, #ffed6f","absence, presence","km2","national","","FALSE","FALSE","0.2"
"theme","Critical Habitat (ECCC)","T_ECCC_CH_COSEWICID_807.tif","Hill's Thistle","manual","0, 1","#00000000, #ffed6f","absence, presence","km2","national","","FALSE","FALSE","0.2"
"theme","Critical Habitat (ECCC)","T_ECCC_CH_COSEWICID_846.tif","Blanding's Turtle (Great Lakes / St. Lawrence population)","manual","0, 1","#00000000, #ffed6f","absence, presence","km2","national","","FALSE","FALSE","0.2"
"theme","Critical Habitat (ECCC)","T_ECCC_CH_COSEWICID_951.tif","Chimney Swift","manual","0, 1","#00000000, #ffed6f","absence, presence","km2","national","","FALSE","FALSE","0.2"
