Type,Theme,File,Name,Legend,Values,Color,Labels,Unit,Provenance,Order,Visible,Hidden,Goal,Targets
include,,I_Protected.tif,Existing Conservation (CPCAD),manual,"0, 1","#00000000, #7fbc41","not included, included",km2,national,,TRUE,FALSE,0.2,
theme,Critical Habitat (ECCC),T_ECCC_CH_Aristida_basiramea.tif,Aristida basiramea,manual,"0, 1","#00000000, #ffed6f","absence, presence",km2,national,,FALSE,TRUE,0.2,1
theme,Critical Habitat (ECCC),T_ECCC_CH_Charadrius_melodus_circumcinctus.tif,Charadrius melodus circumcinctus,manual,"0, 1","#00000000, #ffed6f","absence, presence",km2,national,,FALSE,TRUE,0.2,1
theme,Critical Habitat (ECCC),T_ECCC_CH_Clemmys_guttata.tif,Clemmys guttata,manual,"0, 1","#00000000, #ffed6f","absence, presence",km2,national,,FALSE,TRUE,0.2,0.831590579
theme,Critical Habitat (ECCC),T_ECCC_CH_Emydoidea_blandingii.tif,Emydoidea blandingii,manual,"0, 1","#00000000, #ffed6f","absence, presence",km2,national,,FALSE,TRUE,0.2,0.934999357
theme,Critical Habitat (ECCC),T_ECCC_CH_Glyptemys_insculpta.tif,Glyptemys insculpta,manual,"0, 1","#00000000, #ffed6f","absence, presence",km2,national,,FALSE,TRUE,0.2,1
theme,Critical Habitat (ECCC),T_ECCC_CH_Ixobrychus_exilis.tif,Ixobrychus exilis,manual,"0, 1","#00000000, #ffed6f","absence, presence",km2,national,,FALSE,TRUE,0.2,1
theme,Critical Habitat (ECCC),T_ECCC_CH_Platanthera_leucophaea.tif,Platanthera leucophaea,manual,"0, 1","#00000000, #ffed6f","absence, presence",km2,national,,FALSE,TRUE,0.2,1
theme,Critical Habitat (ECCC),T_ECCC_CH_Pseudacris_triseriata.tif,Pseudacris triseriata,manual,"0, 1","#00000000, #ffed6f","absence, presence",km2,national,,FALSE,TRUE,0.2,1
theme,Critical Habitat (ECCC),T_ECCC_CH_Sternotherus_odoratus.tif,Sternotherus odoratus,manual,"0, 1","#00000000, #ffed6f","absence, presence",km2,national,,FALSE,TRUE,0.2,1
theme,Critical Habitat (ECCC),T_ECCC_CH_Thamnophis_butleri.tif,Thamnophis butleri,manual,"0, 1","#00000000, #ffed6f","absence, presence",km2,national,,FALSE,TRUE,0.2,1
theme,Critical Habitat (ECCC),T_ECCC_CH_Wilsonia_citrina.tif,Wilsonia citrina,manual,"0, 1","#00000000, #ffed6f","absence, presence",km2,national,,FALSE,TRUE,0.2,1
theme,Species at Risk (ECCC),T_ECCC_SAR_COSEWICID_1008.tif,Canada Warbler,manual,"0, 1","#00000000, #fb9a99","absence, presence",km2,national,,FALSE,TRUE,0.2,0.588997966
theme,Species at Risk (ECCC),T_ECCC_SAR_COSEWICID_1019.tif,Western Chorus Frog (Great Lakes / St. Lawrence - Canadian Shield population),manual,"0, 1","#00000000, #fb9a99","absence, presence",km2,national,,FALSE,TRUE,0.2,0.982110572
theme,Species at Risk (ECCC),T_ECCC_SAR_COSEWICID_1022.tif,Eastern Foxsnake (Great Lakes / St. Lawrence population),manual,"0, 1","#00000000, #fb9a99","absence, presence",km2,national,,FALSE,TRUE,0.2,1
theme,Species at Risk (ECCC),T_ECCC_SAR_COSEWICID_1033.tif,Snapping Turtle,manual,"0, 1","#00000000, #fb9a99","absence, presence",km2,national,,FALSE,TRUE,0.2,0.582050368
